sentence_id,token_id,word,left_edge,right_edge,tag,tag_equiv,depth,stem
67,0,They,0,4,PRP,WP,3,Thei
67,1,spent,4,9,VBD,VB,3,spent
67,2,weeks,9,14,NNS,NN,1,week
67,3,deciding,14,22,VBG,VB,1,decid
67,4,.,22,23,.,.,4,.
68,0,If,0,2,IN,IN,16,If
68,1,they,2,6,PRP,WP,14,thei
68,2,decided,6,13,VBD,VB,14,decid
68,3,to,13,15,TO,TO,12,to
68,4,terminate,15,24,VB,VB,11,termin
68,5,the,24,27,DT,DT,9,the
68,6,pregnancy,27,36,NN,NN,9,pregnanc
68,7,",",36,37,",",",",10,","
68,8,given,37,42,VBN,VB,9,given
68,9,that,42,46,IN,IN,8,that
68,10,there,46,51,EX,EX,6,there
68,11,could,51,56,MD,MD,6,could
68,12,have,56,60,VB,VB,5,have
68,13,been,60,64,VBN,VB,4,been
68,14,no,64,66,DT,DT,2,no
68,15,survival,66,74,NN,NN,2,surviv
68,16,outside,74,81,NN,NN,2,outsid
68,17,of,81,83,IN,IN,2,of
68,18,the,83,86,DT,DT,1,the
68,19,womb,86,90,NN,NN,1,womb
68,20,",",90,91,",",",",17,","
68,21,the,91,94,DT,DT,16,the
68,22,only,94,98,JJ,JJ,16,onli
68,23,difficulty,98,108,NN,NN,16,difficulti
68,24,would,108,113,MD,MD,16,would
68,25,have,113,117,VB,VB,15,have
68,26,been,117,121,VBN,VB,14,been
68,27,that,121,125,IN,IN,13,that
68,28,they,125,129,PRP,WP,11,thei
68,29,would,129,134,MD,MD,11,would
68,30,have,134,138,VB,VB,10,have
68,31,had,138,141,VBN,VB,9,had
68,32,to,141,143,TO,TO,7,to
68,33,go,143,145,VB,VB,6,go
68,34,abroad,145,151,RB,RB,5,abroad
68,35,.,151,152,.,.,17,.
69,0,They,0,4,PRP,WP,6,Thei
69,1,made,4,8,VBD,VB,6,made
69,2,the,8,11,DT,DT,5,the
69,3,decision,11,19,NN,NN,5,decis
69,4,to,19,21,TO,TO,3,to
69,5,go,21,23,VB,VB,2,go
69,6,abroad,23,29,RB,RB,1,abroad
69,7,.,29,30,.,.,7,.
70,0,It,0,2,PRP,WP,8,It
70,1,was,2,5,VBD,VB,8,wa
70,2,inhumane,5,13,JJ,JJ,7,inhuman
70,3,that,13,17,IN,IN,7,that
70,4,our,17,20,PRP$,WP,5,our
70,5,country,20,27,NN,NN,5,countri
70,6,could,27,32,MD,MD,5,could
70,7,force,32,37,VB,VB,4,forc
70,8,this,37,41,DT,DT,2,thi
70,9,on,41,43,IN,IN,2,on
70,10,our,43,46,PRP$,WP,1,our
70,11,citizens,46,54,NNS,NN,1,citizen
70,12,.,54,55,.,.,9,.
71,0,They,0,4,PRP,WP,17,Thei
71,1,decided,4,11,VBD,VB,17,decid
71,2,to,11,13,TO,TO,15,to
71,3,terminate,13,22,VB,VB,14,termin
71,4,the,22,25,DT,DT,13,the
71,5,pregnancy,25,34,NN,NN,13,pregnanc
71,6,because,34,41,IN,IN,13,becaus
